Pt,CdTe,M_Cd,2,5,6,10,0,0,4,-0.32,82.67,-0.11,2.3,-0.109,205.3,0.59,30,2,2.31,2.295,2.666,1.718,2.08
Au,CdTe,M_Cd,2,5,6,11,0,0,4,-0.1,84.5565,-0.07,22.4,-0.047,222.74,0.85,31,1,1.8,1.785,2.544,1.043,0.739
Hg,CdTe,M_Cd,2,5,6,12,0,0,4,0.07,88.18,0.08,139.3,0.111,0,0.31,32,0,1.907,2.748,1.124,0.333,0.153
Li,CdTe,M_Te,-2,1,2,1,1,4,0,-0.21,-120.659,-0.13,-349,-0.05,-130.35,-1.12,-49,-5,2.727,2.712,3.142,3.623,4.335
Na,CdTe,M_Te,-2,1,3,1,1,4,0,0.05,-104.61023,0.18,-373.4,0.3,-137.45,-1.17,-41,-5,3.083,3.068,2.788,3.499,4.357
K,CdTe,M_Te,-2,1,4,1,1,4,0,0.54,-88.5017,0.67,-450.4,0.75,-141.79,-1.28,-33,-5,3.952,3.937,3.662,4.373,5.344
Rb,CdTe,M_Te,-2,1,5,1,1,4,0,0.64,-42.1322,0.8,-466.2,0.88,-143.26,-1.28,-15,-2,4.023,4.008,3.784,4.496,5.599
Cs,CdTe,M_Te,-2,1,6,1,1,4,0,0.77,5.3054,0.99,-493.5,1.07,-144.66,-1.31,3,-5,4.048,4.032,3.988,4.7,5.868
Be,CdTe,M_Te,-2,1,2,2,1,4,0,-0.52,-118.58782,-0.46,30.2,-0.48,-430.15,-0.53,-48,-4,2.244,2.229,3.296,4.125,4.954
Mg,CdTe,M_Te,-2,1,3,2,1,4,0,-0.25,-103.295,0,-131.5,0,-420.15,-0.79,-40,-4,3.047,3.032,3.084,3.656,4.605
Ca,CdTe,M_Te,-2,1,4,2,1,4,0,0.03,-87.522,0.38,-279.4,0.37,-346.15,-1.1,-32,-4,3.372,3.357,4.612,5.56,6.51
Sr,CdTe,M_Te,-2,1,5,2,1,4,0,0.29,-39.98,0.55,-319.7,0.55,-358.15,-1.15,-14,-4,3.638,3.623,5.036,5.984,6.933
Ba,CdTe,M_Te,-2,1,6,2,1,4,0,0.45,9.73,0.62,-366.3,0.62,-242.15,-1.21,4,-4,4.156,4.141,5.496,6.444,7.393
B,CdTe,M_Te,-2,1,2,13,1,4,0,-0.74,-116.789,-0.54,-68.6,-0.62,-163.15,-0.06,-47,-3,1.518,1.503,4.687,5.162,5.636
Al,CdTe,M_Te,-2,1,3,13,1,4,0,-0.43,-100.61846,-0.18,-291.6,-0.17,-145.15,-0.49,-39,-3,2.394,2.379,2.203,3.089,4.297
Ga,CdTe,M_Te,-2,1,4,13,1,4,0,-0.35,-57.877,-0.1,-290.4,-0.19,-161.15,-0.29,-21,-3,2.425,2.41,1.744,2.604,3.651
In,CdTe,M_Te,-2,1,5,13,1,4,0,-0.17,-12.78,0.08,-310.9,0.06,-161.15,-0.32,-3,-3,2.715,2.7,2.322,2.416,3.561
Tl,CdTe,M_Te,-2,1,6,13,1,4,0,0.62,76.783,0.12,-279.9,0.11,-160.15,-0.06,29,-3,2.891,2.876,1.869,2.547,3.292
C,CdTe,M_Te,-2,1,2,14,1,4,0,-0.81,-115.589,-0.59,217.2,-0.69,-67.85,0.45,-46,-2,1.173,1.158,5.564,6.039,6.513
Si,CdTe,M_Te,-2,1,3,14,1,4,0,-0.71,-99.5145,-0.25,-82.8,-0.28,-56.55,-0.2,-38,-2,1.769,1.754,2.272,2.747,3.221
Ge,CdTe,M_Te,-2,1,4,14,1,4,0,-0.44,-54.99,-0.14,-107.1,-0.23,-70.15,-0.09,-20,-2,1.932,1.917,1.749,2.223,3.012
Sn,CdTe,M_Te,-2,1,5,14,1,4,0,-0.26,-8.89,0.05,-160.6,0.02,-69.15,-0.14,-2,-2,2.271,2.256,1.44,2.189,3.138
Pb,CdTe,M_Te,-2,1,6,14,1,4,0,0.22,79.6,0.11,-153.7,0.15,-80.15,0.23,30,-2,2.492,2.477,1.656,2.604,3.553
N,CdTe,M_Te,-2,1,2,15,1,4,0,0.74,-113.5933,-0.61,533.1,-0.68,-197.15,0.94,-45,-1,1.209,1.194,2.836,3.231,3.627
P,CdTe,M_Te,-2,1,3,15,1,4,0,-0.8,-96.62624,-0.3,142.5,-0.32,-118.45,0.09,-37,-1,1.304,1.289,1.154,1.391,1.81
As,CdTe,M_Te,-2,1,4,15,1,4,0,-0.39,-52.6784,-0.16,77.8,-0.21,-113.15,0.06,-19,-1,1.453,1.438,1.127,1.078,1.575
Sb,CdTe,M_Te,-2,1,5,15,1,4,0,-0.21,-5.843,0.04,-35.5,-0.01,-89.15,-0.05,-1,-1,1.839,1.824,2.014,3.2,4.387
Bi,CdTe,M_Te,-2,1,6,15,1,4,0,0.06,81.3804,0.1,-165.9,0.1,-80.15,-0.08,31,-1,2.081,2.066,0.865,1.339,2.41
O,CdTe,M_Te,-2,1,2,16,1,4,0,0.43,-111.6006,-0.63,444.7,-0.87,-49.05,1.34,-44,-4,1.244,1.499,1.919,1.919,2.172
S,CdTe,M_Te,-2,1,3,16,1,4,0,-0.68,-95.534,-0.34,130.38,-0.33,10.27,0.48,-36,0,1.437,2.322,0.539,0.54,0.54
Se,CdTe,M_Te,-2,1,4,16,1,4,0,-0.47,-48.64,-0.2,71.7,-0.2,4.81,0.45,-18,0,1.538,2.498,0.286,0.287,0.287
Te,CdTe,M_Te,-2,1,5,16,1,4,0,0,0,0,0,0,0,0,0,0,1.821,2.992,0,0,0
F,CdTe,M_Te,-2,1,2,17,1,4,0,0.36,-108.6016,-0.64,811.8,-0.88,137.85,1.88,-43,-5,2.602,2.587,1.743,1.981,2.218
Cl,CdTe,M_Te,-2,1,3,17,1,4,0,0.84,-92.1473,-0.37,381.9,-0.61,158.65,1.06,-35,1,3.356,3.341,1.092,1.329,1.567
Br,CdTe,M_Te,-2,1,4,17,1,4,0,0.99,-47.696,-0.22,270.7,-0.46,134.45,0.86,-17,1,3.532,3.517,1.034,1.271,1.508
I,CdTe,M_Te,-2,1,5,17,1,4,0,1.23,-0.6955,-0.03,139.2,-0.27,105.15,0.56,1,1,3.842,3.827,1.167,1.404,1.642
Sc,CdTe,M_Te,-2,1,4,3,1,4,0,-0.22,-82.6441,0.08,-238.2,0.006,-172.05,-0.74,-31,-3,2.81,2.795,5.022,6.207,7.394
Ti,CdTe,M_Te,-2,1,4,4,1,4,0,-0.36,-79.72,-0.04,-211.2,-0.152,-170.15,-0.56,-30,-2,2.708,2.693,4.658,5.858,7.282
V,CdTe,M_Te,-2,1,4,5,1,4,0,-0.43,-76.6585,-0.14,-219.2,-0.279,-140.15,-0.47,-29,-1,2.561,2.546,4.121,5.073,6.412
Cr,CdTe,M_Te,-2,1,4,6,1,4,0,-0.35,-75.604,-0.18,-216.4,-0.351,-126.15,-0.44,-28,0,2.719,2.704,2.995,4.109,5.349
Mn,CdTe,M_Te,-2,1,4,7,1,4,0,-0.3,-72.662,-0.19,-151.8,-0.36,-190.15,-0.55,-27,1,2.672,2.657,2.813,3.761,4.899
Fe,CdTe,M_Te,-2,1,4,8,1,4,0,-0.42,-71.753,-0.19,-109.9,-0.359,-166.15,-0.27,-26,0,2.239,2.224,3.136,4.084,5.465
Co,CdTe,M_Te,-2,1,4,9,1,4,0,-0.32,-68.6668,-0.2,-111.2,-0.347,-120.15,-0.22,-25,-3,2.391,2.376,4.778,5.733,7.158
Ni,CdTe,M_Te,-2,1,4,10,1,4,0,-0.28,-68.9066,-0.21,-132.5,-0.354,-79.15,-0.19,-24,-3,1.772,2.252,3.299,3.516,4.682
Cu,CdTe,M_Te,-2,1,4,11,1,4,0,-0.24,-64.144,-0.19,-123.8,-0.322,-71.85,-0.2,-23,-4,2.391,2.376,3.008,2.921,3.676
Zn,CdTe,M_Te,-2,1,4,12,1,4,0,-0.23,-62.21,-0.11,37.2,-0.268,-190.15,-0.45,-22,-4,2.857,2.842,1.859,2.807,3.757
Y,CdTe,M_Te,-2,1,5,3,1,4,0,0.05,-38.6941,0.26,-253.2,0.21,-190.15,-0.88,-13,-3,3.134,3.119,5.041,6.263,7.928
Zr,CdTe,M_Te,-2,1,5,4,1,4,0,-0.13,-36.376,0.09,-209.2,0,-140.15,-0.77,-12,-2,2.717,2.702,5.606,6.764,8.576
